date,symbol,open,high,low,close,Volume ETH,tradecount
29/05/2021 21:00,ETH/USDT,2236.95,2280.51,2223.72,2278.98,40836.89882,59443
29/05/2021 20:00,ETH/USDT,2247.09,2272.96,2204.1,2236.94,79891.20893,89996
29/05/2021 19:00,ETH/USDT,2273,2286.27,2216.6,2247.04,63224.95665,80615
29/05/2021 18:00,ETH/USDT,2268.48,2289.54,2241.01,2273,64181.63527,81021
29/05/2021 17:00,ETH/USDT,2372.38,2373.34,2258.27,2269.35,69232.34732,90181
29/05/2021 16:00,ETH/USDT,2328.84,2390.02,2294.31,2372.36,86913.35722,105455
29/05/2021 15:00,ETH/USDT,2370.97,2371.28,2285.77,2328.92,100534.7199,135587
29/05/2021 14:00,ETH/USDT,2394.04,2425.9,2353.33,2370.96,53084.06056,76920
29/05/2021 13:00,ETH/USDT,2391.18,2404.17,2346.02,2394.32,70448.40769,97050
29/05/2021 12:00,ETH/USDT,2450.75,2451.52,2378.14,2391,52431.45357,71523
29/05/2021 11:00,ETH/USDT,2419.86,2466.7,2377.27,2450.75,74744.87581,93086
29/05/2021 10:00,ETH/USDT,2435.2,2445.71,2410.34,2419.87,30521.42504,47299
29/05/2021 09:00,ETH/USDT,2450.76,2461.21,2391.31,2435.2,63464.2753,84984
29/05/2021 08:00,ETH/USDT,2488.76,2497.18,2437.67,2450.76,39704.44655,59812
29/05/2021 07:00,ETH/USDT,2521.65,2532.74,2481.09,2488.96,39983.25204,51702
29/05/2021 06:00,ETH/USDT,2540.92,2555.77,2517.12,2521.65,32740.57088,61807
29/05/2021 05:00,ETH/USDT,2468.7,2574.27,2468.7,2540.65,69029.28764,122411
29/05/2021 04:00,ETH/USDT,2525.29,2535.41,2462.45,2468.51,47165.43963,55851
29/05/2021 03:00,ETH/USDT,2514.36,2546.52,2499.77,2525.29,38368.05638,51968
29/05/2021 02:00,ETH/USDT,2526.72,2540.33,2498,2513.97,48715.84713,72362
29/05/2021 01:00,ETH/USDT,2492.1,2539.9,2491.89,2526.86,53117.66206,76424
29/05/2021 00:00,ETH/USDT,2412.34,2502.73,2394.4,2492.28,64309.42011,99666
28/05/2021 23:00,ETH/USDT,2388.84,2434.73,2380.02,2412.1,38583.87518,55813
28/05/2021 22:00,ETH/USDT,2369.56,2410.02,2358.54,2388.8,59658.70461,100967
28/05/2021 21:00,ETH/USDT,2427.34,2445.02,2327.38,2369.54,91402.08593,150502
28/05/2021 20:00,ETH/USDT,2499.14,2525.12,2420,2427.35,60547.7413,94587
28/05/2021 19:00,ETH/USDT,2522.18,2555,2492.36,2499.51,59511.99706,63594
28/05/2021 18:00,ETH/USDT,2501,2544.84,2471.21,2522,47087.23946,61079
28/05/2021 17:00,ETH/USDT,2470.02,2512,2456.25,2501,52309.50523,70229
28/05/2021 16:00,ETH/USDT,2558.92,2572.5,2470,2470.5,66268.93005,91861
28/05/2021 15:00,ETH/USDT,2549.66,2580.4,2530,2558.36,50597.54193,62890
28/05/2021 14:00,ETH/USDT,2587.48,2589.39,2540.4,2549.67,55030.647,78005
28/05/2021 13:00,ETH/USDT,2562.84,2617.78,2562.28,2587.35,95304.26467,105223
28/05/2021 12:00,ETH/USDT,2435.65,2574.96,2421.43,2562.84,105587.1526,140087
28/05/2021 11:00,ETH/USDT,2497.98,2519,2419.46,2435.66,80093.93297,109423
28/05/2021 10:00,ETH/USDT,2495.85,2520,2466.68,2497.92,63019.52018,85781
28/05/2021 09:00,ETH/USDT,2506.45,2513.55,2434.07,2495.82,130243.3652,169281
28/05/2021 08:00,ETH/USDT,2566.69,2583.72,2485.85,2506.45,71341.07308,100683
28/05/2021 07:00,ETH/USDT,2553.65,2590.03,2524.31,2566.13,71210.6585,92194
28/05/2021 06:00,ETH/USDT,2577,2590.84,2513,2553.27,97525.01558,142183
28/05/2021 05:00,ETH/USDT,2656.55,2678.13,2556.14,2577.01,80966.73322,117549
28/05/2021 04:00,ETH/USDT,2716.06,2716.06,2650,2656.47,48223.44165,75109
28/05/2021 03:00,ETH/USDT,2730.24,2730.82,2696.95,2716.07,25431.73741,43888
28/05/2021 02:00,ETH/USDT,2710.52,2732.37,2700,2730.02,23149.43187,38228
