date,open,high,low,close,Volume ETH
01/06/2021 00:00,2706.15,2730,2690,2729.03,6645.49237
31/05/2021 00:00,2385.82,2720,2271.44,2706.15,1307958.041
30/05/2021 00:00,2278.74,2476.42,2180.53,2385.98,1151113.199
29/05/2021 00:00,2412.34,2574.27,2204.1,2278.74,1379427.189
28/05/2021 00:00,2742.23,2762.45,2327.38,2412.1,1554584.614
27/05/2021 00:00,2884.82,2889.74,2633.68,2742.23,1099029.912
26/05/2021 00:00,2705.1,2910,2643,2884.94,1583799.593
25/05/2021 00:00,2647.92,2750,2378.54,2705.11,2115349.504
24/05/2021 00:00,2096.63,2675,2079.94,2648.43,2186632.922
23/05/2021 00:00,2295.45,2381.57,1728.74,2096.39,2914548.731
22/05/2021 00:00,2430.98,2485,2145,2294.87,1684318.012
21/05/2021 00:00,2767.87,2938.54,2101,2430.98,2727031.935
20/05/2021 00:00,2438.92,2990.05,2155,2768.62,2942777.93
19/05/2021 00:00,3375.08,3441.73,1888,2438.92,4309836.319
18/05/2021 00:00,3282.25,3565.71,3240,3375.07,1287110.841
17/05/2021 00:00,3581.81,3587.06,3102,3282.51,1904012.44
16/05/2021 00:00,3646.24,3879,3343.06,3582.1,1324065.659
15/05/2021 00:00,4075.02,4134.05,3632,3646.68,1039174.881
14/05/2021 00:00,3717.92,4173.28,3691.35,4075.01,1153390.426
13/05/2021 00:00,3810.15,4034.77,3500,3717.91,2068708.174
12/05/2021 00:00,4173.46,4372.72,3701.58,3823.21,1601842.74
11/05/2021 00:00,3946.63,4180.22,3771.64,4173.45,1095927.104
10/05/2021 00:00,3923.95,4208,3650,3945.88,1505897.926
09/05/2021 00:00,3910.26,3983.65,3726.08,3923.95,1000401.008
08/05/2021 00:00,3479.79,3958.33,3449.27,3910.26,1130467.549
07/05/2021 00:00,3489.74,3587,3353.23,3479.53,760544.6478
06/05/2021 00:00,3524.33,3605.4,3376.47,3489.73,920592.5771
05/05/2021 00:00,3239.01,3549.34,3200.23,3524.26,1174816.736
04/05/2021 00:00,3431.04,3527,3160,3239.01,1826039.386
03/05/2021 00:00,2949.33,3454,2949.32,3431.04,1329088.063
02/05/2021 00:00,2944.83,2985,2852.26,2949.56,571982.5445
01/05/2021 00:00,2772.42,2954.28,2743.41,2944.77,690260.0774
30/04/2021 00:00,2757.04,2798.3,2723.09,2772.42,695339.2048
29/04/2021 00:00,2748.23,2798,2668,2757.04,863890.0107
28/04/2021 00:00,2666.13,2760,2559.44,2748.24,999383.1852
27/04/2021 00:00,2532.06,2680,2480.29,2666.13,771728.4645
26/04/2021 00:00,2320.44,2542.8,2303.64,2532.6,1076469.014
25/04/2021 00:00,2214.08,2356.64,2168,2320.49,857517.3822
24/04/2021 00:00,2367.39,2368.74,2154.8,2213.35,997688.9462
23/04/2021 00:00,2397.94,2442.89,2107,2367.39,2532242.442
22/04/2021 00:00,2357.06,2644.47,2303.44,2397.94,2220753.097
21/04/2021 00:00,2330.26,2469.54,2235.16,2357.06,1177885.862
20/04/2021 00:00,2161.12,2346.62,2055,2330.03,992240.809
19/04/2021 00:00,2235.65,2300,2080,2161.12,820592.2656
18/04/2021 00:00,2317.65,2340,1946.8,2235.64,1475383.692
17/04/2021 00:00,2422.38,2495,2310,2317.6,624232.2557
16/04/2021 00:00,2514.04,2548.29,2300,2422.67,999163.7521
15/04/2021 00:00,2432.59,2543.47,2400,2514.04,681950.9665
14/04/2021 00:00,2299.19,2447.29,2281.33,2432.6,972931.6087
13/04/2021 00:00,2137.86,2318,2135.53,2299.19,782608.6209
12/04/2021 00:00,2151.42,2203.46,2102,2137.69,579093.3569
11/04/2021 00:00,2133.49,2165.02,2113.4,2151.36,392265.5077
10/04/2021 00:00,2067.19,2200,2058,2133.49,655458.2089
09/04/2021 00:00,2080.39,2100,2047.57,2066.87,426387.4379
08/04/2021 00:00,1963.46,2084.61,1947.35,2080.46,501355.998
07/04/2021 00:00,2112.22,2129.01,1930.01,1963.47,892984.9042
06/04/2021 00:00,2107.43,2151,2044.65,2112.21,673386.0558
05/04/2021 00:00,2075.7,2130.64,2002.15,2107.38,684923.6149
04/04/2021 00:00,2008.59,2091.83,1975.24,2075.69,514345.7655
03/04/2021 00:00,2133.69,2138.12,1996.3,2008.52,770176.3219
02/04/2021 00:00,1968.05,2146,1948.48,2133.69,846197.9322
01/04/2021 00:00,1919.37,1984.77,1885.02,1968.05,741585.0727
31/03/2021 00:00,1840.41,1947.29,1768.15,1919.37,746995.8591
30/03/2021 00:00,1816.76,1859.13,1786.3,1840.46,568842.0053
29/03/2021 00:00,1687.16,1841,1677.85,1816.74,647724.4639
28/03/2021 00:00,1712.52,1725.66,1661.4,1687.01,348895.5131
27/03/2021 00:00,1698.84,1732.67,1666.41,1712.63,443845.4996
26/03/2021 00:00,1585.83,1699.93,1585.79,1698.84,515470.9291
25/03/2021 00:00,1581.88,1622,1549.4,1585.74,701697.0026
24/03/2021 00:00,1668.2,1740.86,1536.92,1581.84,753834.5239
23/03/2021 00:00,1681.17,1721.17,1650,1668.08,577213.9959
22/03/2021 00:00,1783.23,1807.51,1655.15,1680.97,582727.4908
21/03/2021 00:00,1806.57,1817.16,1747,1782.98,465953.9875
20/03/2021 00:00,1809.01,1868.83,1800.86,1806.1,451556.1064
19/03/2021 00:00,1775.92,1840.61,1733.47,1809.1,500258.4288
18/03/2021 00:00,1823.58,1850,1759.04,1776.08,603721.6106
17/03/2021 00:00,1805.01,1838.88,1741.18,1823.58,658349.4484
16/03/2021 00:00,1793.99,1819.5,1711.68,1805.12,764993.4015
15/03/2021 00:00,1848.1,1891.76,1730,1793.48,1025326.797
14/03/2021 00:00,1922.35,1933.1,1836,1848.1,637963.6363
13/03/2021 00:00,1766.13,1944.3,1727.75,1922.35,926283.2264
12/03/2021 00:00,1825.78,1841.88,1719.72,1766.1,869564.6361
11/03/2021 00:00,1795.28,1846.7,1725,1825.78,909011.4961
10/03/2021 00:00,1870.5,1877.69,1757,1795.12,937230.6283
09/03/2021 00:00,1833.22,1870.77,1798.2,1870.51,857229.4786
08/03/2021 00:00,1726.46,1843.59,1664.96,1833.18,1149711.4
07/03/2021 00:00,1650.68,1734.16,1630.35,1726.16,848470.7814
06/03/2021 00:00,1528.08,1671.58,1513.03,1650.35,1013300.939
05/03/2021 00:00,1539.22,1548.96,1441.66,1528.31,910786.2898
04/03/2021 00:00,1567.68,1624.87,1506.36,1539.23,946365.6709
03/03/2021 00:00,1486.79,1656.94,1475.47,1567.69,1054846.315
02/03/2021 00:00,1570,1602.9,1455.52,1486.78,1061142.387
01/03/2021 00:00,1418.67,1572,1409.91,1569.86,1094695.178
28/02/2021 00:00,1458.27,1468.75,1293.18,1419.18,1410207.563
27/02/2021 00:00,1444.56,1529,1425,1458.13,927423.0475
26/02/2021 00:00,1482.08,1562.25,1400,1444.59,1355973.294
25/02/2021 00:00,1623.16,1671.59,1459.16,1481.75,1032670.794
24/02/2021 00:00,1577.79,1712.7,1500.2,1623.39,1384388.817
23/02/2021 00:00,1777.42,1782.39,1355,1577.89,2547837.821
22/02/2021 00:00,1933.54,1936.29,1551,1777.58,1807244.981
21/02/2021 00:00,1912.9,1976.31,1883.01,1933.53,756568.1974
20/02/2021 00:00,1955.46,2042.34,1803.14,1913,1261315.813
19/02/2021 00:00,1938.91,1972.82,1891,1955,793404.4115
18/02/2021 00:00,1849.7,1950.5,1849.69,1939.61,937227.1019
17/02/2021 00:00,1781.99,1855,1733.01,1849.88,795711.6331
16/02/2021 00:00,1779.33,1827.28,1724,1781.99,817493.4751
15/02/2021 00:00,1800.03,1835.72,1655.67,1779.25,1053474.579
14/02/2021 00:00,1815.25,1850,1784.11,1800.42,675261.7787
13/02/2021 00:00,1840.24,1871.72,1765,1814.96,767589.0729
12/02/2021 00:00,1785.83,1864.88,1739.88,1840.26,909600.2065
11/02/2021 00:00,1740.76,1819,1703.44,1785.62,735079.827
10/02/2021 00:00,1769.14,1837.86,1680,1740.78,1219932.255
09/02/2021 00:00,1749.68,1821.88,1708.49,1769.13,1185071.896
08/02/2021 00:00,1611.46,1775.57,1563.89,1750.15,1339777.095
07/02/2021 00:00,1676.35,1693,1490.46,1611.62,1281734.868
06/02/2021 00:00,1718.95,1743.67,1642.94,1676.35,1149808.331
05/02/2021 00:00,1595.53,1760.49,1591,1719.19,1194123.299
04/02/2021 00:00,1664.67,1695.2,1554.44,1595.67,1646502.33
03/02/2021 00:00,1511.93,1669.35,1508.39,1664.49,1535869.888
02/02/2021 00:00,1374.09,1547.9,1360.28,1511.87,1944227.999
01/02/2021 00:00,1312.45,1377.99,1269.99,1374.17,1096397.919
31/01/2021 00:00,1378.04,1380.74,1281.12,1312.55,958704.8557
30/01/2021 00:00,1379.56,1406,1326.41,1378.05,1040042.236
29/01/2021 00:00,1329.44,1436.9,1285.35,1379.5,2253963.187
28/01/2021 00:00,1238.93,1360,1217.23,1329.69,1365269.72
27/01/2021 00:00,1366.54,1373.9,1207,1239.03,2009772.084
26/01/2021 00:00,1317.6,1378.49,1244.56,1365.97,1682923.658
25/01/2021 00:00,1392.19,1475,1293.69,1317.88,1885441.313
24/01/2021 00:00,1233.46,1398.83,1220,1392.51,1510879.538
23/01/2021 00:00,1232.61,1272.44,1195.9,1233.6,1009545.083
22/01/2021 00:00,1111.98,1273.79,1042.31,1232.62,2020593.217
21/01/2021 00:00,1376.72,1390,1086,1110.96,2254164.804
20/01/2021 00:00,1365.36,1407.93,1235.42,1376.99,2219137.621
19/01/2021 00:00,1258.52,1438.3,1251.49,1365.36,2278852.558
